Week,DC,Cat_Desc,VENDOR_NAME,FCST_Ceiling,Domestic_Import,Temp Range,Case_Pallet,Speed,Service,Revised
12048,3699,ASPARAGUS,IMPORT,80,IMPORT,34,Pallet,,Fumigation ,23/12/20
12048,4867,ASPARAGUS,IMPORT,60,IMPORT,34,Pallet,,Fumigation ,23/12/20
12048,3699,ASPARAGUS,IMPORT-IMPORT PRODUCE PROGRAM,69,IMPORT,34,Pallet,,Fumigation ,23/12/20
12048,4867,ASPARAGUS,IMPORT-IMPORT PRODUCE PROGRAM,67,IMPORT,34,Pallet,,Fumigation ,23/12/20
12048,7095,ASPARAGUS,IMPORT-IMPORT PRODUCE PROGRAM,53,IMPORT,34,Pallet,,Fumigation ,23/12/20
12049,3699,ASPARAGUS,IMPORT,80,IMPORT,34,Pallet,,Fumigation ,23/12/20
12049,4867,ASPARAGUS,IMPORT,60,IMPORT,34,Pallet,,Fumigation ,23/12/20
12049,3699,ASPARAGUS,IMPORT-IMPORT PRODUCE PROGRAM,73,IMPORT,34,Pallet,,Fumigation ,23/12/20
12049,4867,ASPARAGUS,IMPORT-IMPORT PRODUCE PROGRAM,72,IMPORT,34,Pallet,,Fumigation ,23/12/20
12049,7095,ASPARAGUS,IMPORT-IMPORT PRODUCE PROGRAM,57,IMPORT,34,Pallet,,Fumigation ,23/12/20
12050,3699,ASPARAGUS,IMPORT,80,IMPORT,34,Pallet,,Fumigation ,23/12/20
12050,4867,ASPARAGUS,IMPORT,60,IMPORT,34,Pallet,,Fumigation ,23/12/20
12050,3699,ASPARAGUS,IMPORT-IMPORT PRODUCE PROGRAM,43,IMPORT,34,Pallet,,Fumigation ,23/12/20
12050,4867,ASPARAGUS,IMPORT-IMPORT PRODUCE PROGRAM,37,IMPORT,34,Pallet,,Fumigation ,23/12/20
12050,7095,ASPARAGUS,IMPORT-IMPORT PRODUCE PROGRAM,10,IMPORT,34,Pallet,,Fumigation ,23/12/20
12051,3699,ASPARAGUS,IMPORT,80,IMPORT,34,Pallet,,Fumigation ,23/12/20
12051,4867,ASPARAGUS,IMPORT,60,IMPORT,34,Pallet,,Fumigation ,23/12/20
12051,3699,ASPARAGUS,IMPORT-IMPORT PRODUCE PROGRAM,43,IMPORT,34,Pallet,,Fumigation ,23/12/20
12051,4867,ASPARAGUS,IMPORT-IMPORT PRODUCE PROGRAM,38,IMPORT,34,Pallet,,Fumigation ,23/12/20
12051,7095,ASPARAGUS,IMPORT-IMPORT PRODUCE PROGRAM,11,IMPORT,34,Pallet,,Fumigation ,23/12/20
12052,3699,ASPARAGUS,IMPORT,80,IMPORT,34,Pallet,,Fumigation ,23/12/20
12052,4867,ASPARAGUS,IMPORT,60,IMPORT,34,Pallet,,Fumigation ,23/12/20
12052,3699,ASPARAGUS,IMPORT-IMPORT PRODUCE PROGRAM,46,IMPORT,34,Pallet,,Fumigation ,23/12/20
12052,4867,ASPARAGUS,IMPORT-IMPORT PRODUCE PROGRAM,39,IMPORT,34,Pallet,,Fumigation ,23/12/20
12052,7095,ASPARAGUS,IMPORT-IMPORT PRODUCE PROGRAM,12,IMPORT,34,Pallet,,Fumigation ,23/12/20
12101,7095,ASPARAGUS,IMPORT,80,IMPORT,34,Pallet,,Fumigation ,23/12/20
12048,3699,AVOCADOS,W P PRODUCE CORP,29,DOMESTIC,34,Pallet,,,23/12/20
12049,3699,AVOCADOS,W P PRODUCE CORP,33,DOMESTIC,34,Pallet,,,23/12/20
12050,3699,AVOCADOS,W P PRODUCE CORP,34,DOMESTIC,34,Pallet,,,23/12/20
12051,3699,AVOCADOS,W P PRODUCE CORP,33,DOMESTIC,34,Pallet,,,23/12/20
12052,3699,AVOCADOS,W P PRODUCE CORP,33,DOMESTIC,34,Pallet,,,23/12/20
12101,3699,AVOCADOS,W P PRODUCE CORP,37,DOMESTIC,34,Pallet,,,23/12/20
12102,3699,AVOCADOS,W P PRODUCE CORP,36,DOMESTIC,34,Pallet,,,23/12/20
12103,3699,AVOCADOS,W P PRODUCE CORP,33,DOMESTIC,34,Pallet,,,23/12/20
12048,3699,AVOCADOS,IMPORT,180,IMPORT,34,Pallet,,,23/12/20
12048,4867,AVOCADOS,IMPORT,260,IMPORT,34,Pallet,,,23/12/20
12049,3699,AVOCADOS,IMPORT,180,IMPORT,34,Pallet,,,23/12/20
12049,4867,AVOCADOS,IMPORT,260,IMPORT,34,Pallet,,,23/12/20
12050,3699,AVOCADOS,IMPORT,180,IMPORT,34,Pallet,,,23/12/20
12050,4867,AVOCADOS,IMPORT,260,IMPORT,34,Pallet,,,23/12/20
12051,3699,AVOCADOS,IMPORT,180,IMPORT,34,Pallet,,,23/12/20
